# variant=ABLATE env=deep-sea-treasure-concave-v0 seed=0
episode=18200 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=18400 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=18600 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=18800 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=19000 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=19200 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=19400 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=19600 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=19800 block_size=200 mean_H_t=0.000001 std_H_t=0.000000
episode=20000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=20200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=20400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=20600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=20800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=21000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=21200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=21400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=21600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=21800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=22000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=22200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=22400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=22600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=22800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=23000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=23200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=23400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=23600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=23800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=24000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=24200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=24400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=24600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=24800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=25000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=25200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=25400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=25600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=25800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=26000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=26200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=26400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=26600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=26800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=27000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=27200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=27400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=27600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=27800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=28000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=28200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=28400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=28600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=28800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=29000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=29200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=29400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=29600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=29800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=30000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=30200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=30400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=30600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=30800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
